table_type,ai_response,archived,completed,completed_at,created_at,date,day_start_hour,description,due_date,frequency_days,habit_id,hp,hp_lost,id,is_bad_habit,is_for_today,level,max_hp,metric_id,mood_score,notes,priority,sort_order,status,title,updated_at,user_id,value,xp,xp_earned,xp_reward
profiles,,,,,2026-01-25T11:35:20.537744+00:00,,4,,,,,100,,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,20,100,,,,,,,,2026-01-26T09:56:04.891989+00:00,,,464,,
habits,,false,,,2026-01-26T09:56:32.095248+00:00,,,,,1|2|3|4|5|6,,,,66a61640-f6f1-4bfe-9a90-429cb4b4e574,false,,,,,,,,4,,Physique: Gym Session,2026-01-26T09:56:32.095248+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,false,,,2026-01-26T09:56:33.838345+00:00,,,,,0|1|2|3|4|5|6,,,,c172e6e3-1e47-4674-bff4-16e0beb3bacc,true,,,,,,,,17,,Instagram Doom Scrolling,2026-01-26T09:56:33.838345+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,15
habits,,false,,,2026-01-26T09:56:35.160314+00:00,,,,,0|1|2|3|4|5|6,,,,857850d0-8923-433f-bd33-ffe4a0c11a82,false,,,,,,,,1,,30 pushups,2026-01-26T09:56:35.160314+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,5
habits,,false,,,2026-01-26T09:56:36.496403+00:00,,,Take photo of my body and face in good lighting.,,0,,,,a44e1ddd-3eac-4572-8e9a-3c7fdcdde6ba,false,,,,,,,,15,,Mirror Photo,2026-01-26T09:56:36.496403+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,true,,,2026-01-26T09:56:32.375837+00:00,,,,,3|6,,,,db639932-33ff-4d98-8870-c6c874ed2554,false,,,,,,,,9,,Hair Wash,2026-01-26T09:56:32.375837+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,false,,,2026-01-26T09:56:34.107393+00:00,,,,,0|1|2|3|4|5|6,,,,27307c40-15be-45d5-a944-8da3bb7310ab,false,,,,,,,,0,,Wake Up On Time,2026-01-26T09:56:34.107393+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,false,,,2026-01-26T09:56:35.428462+00:00,,,,,0|1|2|3|4|5|6,,,,4f0e956b-6f14-4d0e-b034-3fff22b9f6d1,false,,,,,,,,7,,Hydration (3L),2026-01-26T09:56:35.428462+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,false,,,2026-01-26T09:56:36.75716+00:00,,,,,1|2|3|4|5|6,,,,c89aecc1-c39a-429f-9740-b3ea567f7950,false,,,,,,,,3,,10 pull ups,2026-01-26T09:56:36.75716+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,false,,,2026-01-26T09:56:33.042665+00:00,,,,,0|1|2|3|4|5|6,,,,149f2009-be27-4f69-b664-7a43bd8faacc,false,,,,,,,,5,,Evening Skin Routine,2026-01-26T09:56:33.042665+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,false,,,2026-01-26T09:56:34.641078+00:00,,,,,2|5,,,,ab47ca9c-3e2d-43eb-9133-9b8e44283660,false,,,,,,,,10,,De-Tan Pack,2026-01-26T09:56:34.641078+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,false,,,2026-01-26T09:56:35.980917+00:00,,,,,0|1|2|3|4|5|6,,,,98d14b6a-66bc-40b0-9550-2d75bf432abe,false,,,,,,,,2,,Morning Skin Routine,2026-01-26T09:56:35.980917+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,false,,,2026-01-26T09:56:37.258278+00:00,,,,,0|1|2|3|4|5|6,,,,bc71c03b-2e4c-41f0-8d54-d73428a66b7e,true,,,,,,,,16,,No Sugar,2026-01-26T09:56:37.258278+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,15
habits,,false,,,2026-01-26T09:56:32.719461+00:00,,,,,0|1|2|3|4|5|6,,,,bd21cda2-07e3-44f6-942f-676fbf644578,true,,,,,,,,16,,No fast food,2026-01-26T09:56:32.719461+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,15
habits,,false,,,2026-01-26T09:56:34.370493+00:00,,,At least 70 gram,,0|1|2|3|4|5|6,,,,63346d1c-72ff-48cc-8c3b-1420e31984cc,false,,,,,,,,6,,Protein,2026-01-26T09:56:34.370493+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,15
habits,,true,,,2026-01-26T09:56:35.700648+00:00,,,,,0,,,,a5b75da4-303e-41a0-8544-6790241d2a64,false,,,,,,,,14,,Video Editing,2026-01-26T09:56:35.700648+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
