table_type,ai_response,archived,completed,completed_at,created_at,date,day_start_hour,description,due_date,frequency_days,habit_id,hp,hp_lost,id,is_bad_habit,is_for_today,level,max_hp,metric_id,mood_score,notes,priority,sort_order,status,title,updated_at,user_id,value,xp,xp_earned,xp_reward
profiles,,,,,2026-01-25T11:35:20.537744+00:00,,4,,,,,100,,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,20,100,,,,,,,,2026-01-26T07:51:25.70694+00:00,,,464,,
habits,,false,,,2026-01-26T07:51:26.968107+00:00,,,,,"1,2,3,4,5,6",,,,66a61640-f6f1-4bfe-9a90-429cb4b4e574,false,,,,,,,,4,,Physique: Gym Session,2026-01-26T07:51:26.968107+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,true,,,2026-01-26T07:51:27.778812+00:00,,,,,"3,6",,,,db639932-33ff-4d98-8870-c6c874ed2554,false,,,,,,,,9,,Hair Wash,2026-01-26T07:51:27.778812+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,false,,,2026-01-26T07:51:28.575407+00:00,,,,,"0,1,2,3,4,5,6",,,,bd21cda2-07e3-44f6-942f-676fbf644578,true,,,,,,,,16,,No fast food,2026-01-26T07:51:28.575407+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,15
habits,,false,,,2026-01-26T07:51:27.105355+00:00,,,,,"0,1,2,3,4,5,6",,,,149f2009-be27-4f69-b664-7a43bd8faacc,false,,,,,,,,5,,Evening Skin Routine,2026-01-26T07:51:27.105355+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,true,,,2026-01-26T07:51:27.909565+00:00,,,,,"2,5",,,,7f5d52ae-bf84-4969-84c1-7e45762a339c,false,,,,,,,,9,,Hair Oil,2026-01-26T07:51:27.909565+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,false,,,2026-01-26T07:51:28.777747+00:00,,,,,"0,1,2,3,4,5,6",,,,c172e6e3-1e47-4674-bff4-16e0beb3bacc,true,,,,,,,,17,,Instagram Doom Scrolling,2026-01-26T07:51:28.777747+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,15
habits,,false,,,2026-01-26T07:51:26.339528+00:00,,,,,"0,1,2,3,4,5,6",,,,27307c40-15be-45d5-a944-8da3bb7310ab,false,,,,,,,,0,,Wake Up On Time,2026-01-26T07:51:26.339528+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,false,,,2026-01-26T07:51:27.245116+00:00,,,At least 70 gram,,"0,1,2,3,4,5,6",,,,63346d1c-72ff-48cc-8c3b-1420e31984cc,false,,,,,,,,6,,Protein,2026-01-26T07:51:27.245116+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,15
habits,,false,,,2026-01-26T07:51:28.026482+00:00,,,,,"2,5",,,,ab47ca9c-3e2d-43eb-9133-9b8e44283660,false,,,,,,,,10,,De-Tan Pack,2026-01-26T07:51:28.026482+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,false,,,2026-01-26T07:51:28.905094+00:00,,,,,"0,1,2,3,4,5,6",,,,20b143ad-0d1a-4899-988e-24c61b10811e,true,,,,,,,,18,,Mindless Consumption,2026-01-26T07:51:28.905094+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,15
habits,,false,,,2026-01-26T07:51:26.513375+00:00,,,,,"0,1,2,3,4,5,6",,,,857850d0-8923-433f-bd33-ffe4a0c11a82,false,,,,,,,,1,,30 pushups,2026-01-26T07:51:26.513375+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,5
habits,,false,,,2026-01-26T07:51:27.376858+00:00,,,,,"0,1,2,3,4,5,6",,,,4f0e956b-6f14-4d0e-b034-3fff22b9f6d1,false,,,,,,,,7,,Hydration (3L),2026-01-26T07:51:27.376858+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,true,,,2026-01-26T07:51:28.148255+00:00,,,,,0,,,,a5b75da4-303e-41a0-8544-6790241d2a64,false,,,,,,,,14,,Video Editing,2026-01-26T07:51:28.148255+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,false,,,2026-01-26T07:51:26.654924+00:00,,,,,"0,1,2,3,4,5,6",,,,98d14b6a-66bc-40b0-9550-2d75bf432abe,false,,,,,,,,2,,Morning Skin Routine,2026-01-26T07:51:26.654924+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,true,,,2026-01-26T07:51:27.518284+00:00,,,,,0,,,,3fab9067-9921-456d-8aac-920f76106583,false,,,,,,,,7,,Clay Mask,2026-01-26T07:51:27.518284+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,false,,,2026-01-26T07:51:28.27076+00:00,,,Take photo of my body and face in good lighting.,,0,,,,a44e1ddd-3eac-4572-8e9a-3c7fdcdde6ba,false,,,,,,,,15,,Mirror Photo,2026-01-26T07:51:28.27076+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,false,,,2026-01-26T07:51:26.779987+00:00,,,,,"1,2,3,4,5,6",,,,c89aecc1-c39a-429f-9740-b3ea567f7950,false,,,,,,,,3,,10 pull ups,2026-01-26T07:51:26.779987+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,false,,,2026-01-26T07:51:27.637435+00:00,,,At least 10 page,,"0,1,2,3,4,5,6",,,,c906d057-3c33-436c-9828-226e2ba14de0,false,,,,,,,,8,,Reading,2026-01-26T07:51:27.637435+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,10
habits,,false,,,2026-01-26T07:51:28.430128+00:00,,,,,"0,1,2,3,4,5,6",,,,bc71c03b-2e4c-41f0-8d54-d73428a66b7e,true,,,,,,,,16,,No Sugar,2026-01-26T07:51:28.430128+00:00,de6275db-9f3d-48cc-aaf3-cad8261ed24b,,,,15
habit_logs,,,,,2026-01-26T07:51:29.361186+00:00,2025-12-01,,,,,149f2009-be27-4f69-b664-7a43bd8faacc,,,fd53e9c6-c859-4e55-9a5e-815d9076213c,,,,,,,,,,completed,,,,,,,
habit_logs,,,,,2026-01-26T07:51:29.361186+00:00,2025-12-02,,,,,149f2009-be27-4f69-b664-7a43bd8faacc,,,fbb7dcdb-6b34-45ac-a47d-0529bd0f004b,,,,,,,,,,completed,,,,,,,
habit_logs,,,,,2026-01-26T07:51:29.361186+00:00,2025-12-03,,,,,149f2009-be27-4f69-b664-7a43bd8faacc,,,8fbd3f2f-e6eb-42a5-9c91-f993e84a7d87,,,,,,,,,,completed,,,,,,,
habit_logs,,,,,2026-01-26T07:51:29.361186+00:00,2025-12-04,,,,,149f2009-be27-4f69-b664-7a43bd8faacc,,,fde3cf29-4d28-4503-9679-b7a60a4b3d12,,,,,,,,,,completed,,,,,,,
habit_logs,,,,,2026-01-26T07:51:29.361186+00:00,2025-12-05,,,,,149f2009-be27-4f69-b664-7a43bd8faacc,,,237d9f1c-5766-410e-9035-86ea84e536e4,,,,,,,,,,completed,,,,,,,
habit_logs,,,,,2026-01-26T07:51:29.361186+00:00,2025-12-06,,,,,149f2009-be27-4f69-b664-7a43bd8faacc,,,5ce78c0d-c63a-4db2-8c0b-c0fa4ab1b09a,,,,,,,,,,completed,,,,,,,
habit_logs,,,,,2026-01-26T07:51:29.361186+00:00,2025-12-07,,,,,149f2009-be27-4f69-b664-7a43bd8faacc,,,884de5fb-b9b9-419d-b0bb-c338c2a99e48,,,,,,,,,,completed,,,,,,,
habit_logs,,,,,2026-01-26T07:51:29.361186+00:00,2025-12-08,,,,,149f2009-be27-4f69-b664-7a43bd8faacc,,,6fbb8e55-3ffb-43f0-8e9a-877b15a620c1,,,,,,,,,,completed,,,,,,,
habit_logs,,,,,2026-01-26T07:51:29.361186+00:00,2025-12-09,,,,,149f2009-be27-4f69-b664-7a43bd8faacc,,,030d83b5-67dc-41ca-8f02-fce3c1468c49,,,,,,,,,,completed,,,,,,,
